;mae;mse;rmse;mape;n
SANSED05#E01Sd02;136.86000184385;21818.5145212869;147.710915376241;0.323374230093574;5
SANSED05#E01Sd03;262.663937140369;70798.3935819883;266.079675251584;0.842711494233938;5
SANSED05#E02Sd01;239.09335978395;64943.1355205645;254.83943085905;0.245918655902396;5
SANSED05#E02Sd02;457.577941746443;209388.645371356;457.590040725709;0.820504280947432;5
SANSED05#E02Sd03;429.808356170653;187821.579486208;433.383870819171;0.378272852383027;5
SANSED05#E03Sd01;121.023232718406;16164.9662350074;127.141520499825;0.161762125091436;5
SANSED05#E03Sd02;208.228003418291;43620.3200661963;208.854782244018;0.204223141259539;5
SANSED05#E03Sd03;70.7501390240891;6262.10097181502;79.133437760627;0.0869865830432845;5
SANSED05#E04Sd01;55.7884719330811;3811.12879998196;61.734340524395;0.085378338644157;5
SANSED05#E04Sd02;203.904053873578;41698.4802586481;204.202057430008;0.242351497297485;5
SANSED05#E04Sd03;162.956286831301;26642.2092239579;163.22441368851;0.280670106121059;5
SANSED05#E05Sd01;128.078467668721;17126.6401356156;130.868789769049;2.28619530170012;5
SANSED05#E05Sd02;90.7255267950194;9422.47063797908;97.0694114434567;1.04787738411342;5
SANSED05#E05Sd03;68.6312620605343;6133.93110335185;78.3194171540611;0.673785839534758;5
SANSED05#F01Sd01;80.3132032320758;8145.61381923741;90.2530543485228;0.246783420663881;5
SANSED05#F01Sd02;240.940106798214;66398.7629009601;257.679574085646;0.979471622158659;5
SANSED05#F01Sd03;273.16872632742;80082.5713414468;282.988641718085;1.14853434644519;5
SANSED05#F02Sd01;395.495732224161;158385.957081681;397.977332371683;0.342395967500013;5
SANSED05#F02Sd02;94.1813065122978;13324.9248458599;115.433638276976;0.108079814673513;5
SANSED05#F02Sd03;225.084240574033;60057.9582322278;245.067252468027;0.335065862693618;5
SANSED05#F03Sd01;1088.11678076743;1185520.72565898;1088.81620380071;0.476262216453358;5
SANSED05#F03Sd02;235.203620267579;56536.5501757373;237.774157922465;0.179208858500381;5
SANSED05#F03Sd03;323.674237171717;151654.290363692;389.42815815461;0.271363312669573;5
SANSED05#F04Sd01;699.407407056667;491157.937436018;700.826610108391;0.395644837900464;5
SANSED05#F04Sd02;211.345539772065;64424.0173435524;253.818867193817;0.201249271166182;5
SANSED05#F04Sd03;221.720491963668;52972.8756921365;230.158370893036;0.182535500135835;5
SANSED05#F05Sd01;36.1253835742759;1954.64360740861;44.2113515673137;0.1028000359241;5
SANSED05#F05Sd02;149.208151737265;23596.8464233921;153.612650596857;0.658358473703207;5
SANSED05#F05Sd03;74.1882235334382;7528.10486664407;86.7646521726681;0.259658175208323;5
SANSED05#G01Sd01;357.008270574886;130559.426794367;361.330080112861;0.326799114365337;5
SANSED05#G01Sd02;357.56447461151;129656.396569084;360.078320048687;0.630229985800891;5
SANSED05#G01Sd03;41.5552818186718;3875.47487078556;62.2533121270311;0.049301271934164;5
SANSED05#G02Sd01;465.011970525039;220387.084297627;469.454027885188;0.398016072020518;5
SANSED05#G02Sd02;274.467052859761;82889.3731826425;287.905146155192;0.421356370650317;5
SANSED05#G02Sd03;428.464542108846;190975.532739483;437.007474466379;0.827225330511526;5
SANSED05#G03Sd01;967.948525328211;937297.75907611;968.141394154857;0.483726771359304;5
SANSED05#G03Sd02;383.833464798872;175014.580344317;418.34743974873;0.238196980301236;5
SANSED05#G03Sd03;1026.52537346979;1105967.06547847;1051.64968762344;2.24202208837806;5
SANSED05#G04Sd01;425.521887552549;181132.164360765;425.596245708025;0.935621805582446;5
SANSED05#G04Sd02;193.102065347967;42008.811908635;204.960513047355;0.265143369703069;5
SANSED05#G04Sd03;200.815486550187;46564.3580792819;215.787761653162;0.281241288009123;5
SANSED05#G05Sd01;143.612935991123;20701.41799905;143.879873502342;0.703200350087428;5
SANSED05#G05Sd02;23.8230425225026;1022.98639062307;31.9841584323093;0.078881002716718;5
SANSED05#G05Sd03;91.1393926872082;8961.65792099656;94.6660336181704;0.380748466131625;5
SANSED05#H01Sd01;230.003261220817;54706.9956127636;233.895266332527;0.328922321431408;5
SANSED05#H01Sd02;13.7748536698758;376.267502153672;19.3976158883939;0.0152979988317733;5
SANSED05#H01Sd03;256.74271535847;68039.3770799066;260.843587385058;0.229455231102167;5
SANSED05#H02Sd01;180.353705251067;38021.3094796895;194.990536897793;0.170579803539447;5
SANSED05#H02Sd02;368.55752377627;135932.109345393;368.68971960904;0.565802193655587;5
SANSED05#H02Sd03;156.117718689535;26080.0107407427;161.493067159995;0.154193372144541;5
SANSED05#H03Sd01;362.340398113419;134533.479246114;366.788057665614;0.187916985694738;5
SANSED05#H03Sd02;63.3984490429804;8138.82913912225;90.2154595350611;0.038707264809672;5
SANSED05#H03Sd03;64.1009802842643;4202.18304438988;64.8242473491971;0.0375035698621067;5
SANSED05#H04Sd01;333.023029585262;111814.661091272;334.386993005518;0.198088212499872;5
